League,LeagueId,Date,HomeTeamId,AwayTeamId,HomeTeam,AwayTeam,FTHG,FTAG,HasOT,Home_OT,Away_OT
LNBP,63.0,2026-08-16,817,830,Abejas,Panteras,92,83,False,0,0
LNBP,63.0,2026-08-16,821,6478,Correcaminos,El Calor de Cancun,83,90,False,0,0
LNBP,63.0,2026-08-16,823,5985,Fuerza Regia,Freseros,101,100,True,10,9
LNBP,63.0,2026-08-16,7437,6477,Gambusinos,Diablos Rojos,83,80,False,0,0
LNBP,63.0,2026-08-16,6479,822,Lobos Plateados,Dorados,104,77,False,0,0
LNBP,63.0,2026-08-16,829,819,Mineros,Astros,94,88,False,0,0
LNBP,63.0,2026-08-16,6063,833,Santos,Soles,75,84,False,0,0
NBA W,13.0,2026-08-16,162,166,Atlanta Dream W,Indiana Fever W,95,91,False,0,0
NBA W,,2026-08-16,167,169,Las Vegas Aces W,Minnesota Lynx W,87,92,False,0,0
NBA W,13.0,2026-08-16,171,7100,Phoenix Mercury W,Portland Fire W,85,88,False,0,0
NBA W,13.0,2026-08-16,172,163,Seattle Storm W,Chicago Sky W,80,82,False,0,0
NBL1 East,215.0,2026-08-16,3541,3540,Sutherland Sharks,Norths Bears,64,76,False,0,0
NBL1 East Women,216.0,2026-08-16,3549,5928,Manly W. W,Bankstown Bruins W,85,90,False,0,0
VBA,276.0,2026-08-16,3994,3992,Hanoi Buffaloes,Can Tho Catfish,109,94,False,0,0
BIG3,178.0,2026-08-15,2922,7435,Power,Miami 305,50,36,False,0,0
BIG3,178.0,2026-08-15,2925,2917,Triplets,Ball Hogs,47,50,False,0,0
BSN,,2026-08-15,958,950,Vaqueros de Bayamon,Aguada Santeros,93,95,True,8,10
CEBL,,2026-08-15,5961,5960,Winnipeg Sea Bears,Brampton Honey Badgers,98,84,False,0,0
EuroBasket U16,336.0,2026-08-15,4636,4641,France U16,Latvia U16,69,75,False,0,0
EuroBasket U16,336.0,2026-08-15,4649,4646,Georgia U16,Slovenia U16,66,67,False,0,0
EuroBasket U16,336.0,2026-08-15,4637,4638,Germany U16,Greece U16,85,77,False,0,0
EuroBasket U16,336.0,2026-08-15,4639,4749,Israel U16,Belgium U16,85,68,False,0,0
EuroBasket U16,336.0,2026-08-15,4640,4752,Italy U16,Czech Republic U16,82,90,False,0,0
EuroBasket U16,336.0,2026-08-15,4642,4647,Lithuania U16,Spain U16,93,96,False,0,0
EuroBasket U16,336.0,2026-08-15,4761,4654,Romania U16,Poland U16,62,88,False,0,0
EuroBasket U16,336.0,2026-08-15,4648,4645,Turkey U16,Serbia U16,73,75,False,0,0
EuroBasket U16 B,341.0,2026-08-15,4633,4635,Bosnia & Herzegovina U16,Estonia U16,67,83,False,0,0
EuroBasket U16 B,341.0,2026-08-15,4751,4759,Cyprus U16,Norway U16,79,60,False,0,0
EuroBasket U16 B,341.0,2026-08-15,4652,4762,Finland U16,Slovakia U16,88,83,False,0,0
EuroBasket U16 B,341.0,2026-08-15,4754,4653,Great Britain U16,Sweden U16,104,89,False,0,0
EuroBasket U16 B,341.0,2026-08-15,4755,4764,Hungary U16,Ukraine U16,88,64,False,0,0
EuroBasket U16 B,341.0,2026-08-15,4756,4634,Iceland U16,Croatia U16,67,69,False,0,0
EuroBasket U16 B,341.0,2026-08-15,4757,4747,Ireland U16,Austria U16,75,64,False,0,0
EuroBasket U16 B,341.0,2026-08-15,4650,4651,Montenegro U16,Netherlands U16,71,74,False,0,0
EuroBasket U16 B,341.0,2026-08-15,4643,4750,North Macedonia U16,Bulgaria U16,62,102,False,0,0
EuroBasket U16 B,341.0,2026-08-15,4760,4753,Portugal U16,Denmark U16,71,86,False,0,0
EuroBasket U16 B,341.0,2026-08-15,4763,4765,Switzerland U16,Luxembourg U16,100,80,False,0,0
Friendly International Women,290.0,2026-08-15,3036,4180,Belgium W,Italy W,63,64,False,0,0
Friendly International Women,290.0,2026-08-15,4178,4580,Finland W,Lithuania W,68,65,False,0,0
Friendly International Women,290.0,2026-08-15,4577,3048,Germany W,Spain W,60,65,False,0,0
Friendly International Women,290.0,2026-08-15,3049,4177,Sweden W,Czech Republic W,63,75,False,0,0
LNB,114.0,2026-08-15,1377,1384,Ancud,Puerto Montt,66,88,False,0,0
LNB,114.0,2026-08-15,1447,1387,Espanol de Talca,U. De Concepcion,80,103,False,0,0
LNB 2,,2026-08-15,7377,3585,CD Huachipato,Sportiva Italiana,72,73,False,0,0
LNBP,63.0,2026-08-15,823,5985,Fuerza Regia,Freseros,105,94,False,0,0
LNBP,63.0,2026-08-15,6479,822,Lobos Plateados,Dorados,74,71,False,0,0
MPBL,,2026-08-15,7368,7421,Pasay Voyagers,Marikina Shoemasters,87,69,False,0,0
MPBL,,2026-08-15,7373,7359,San Juan Knights,Imus Braderhood,120,77,False,0,0
NBA W,,2026-08-15,164,170,Connecticut Sun W,New York Liberty W,75,82,False,0,0
NBA W,,2026-08-15,172,7100,Seattle Storm W,Portland Fire W,82,84,False,0,0
NBA W,,2026-08-15,175,168,Washington Mystics W,Los Angeles Sparks W,80,70,False,0,0
NBL1 South,209.0,2026-08-15,47,44,Eltham,Frankston,75,78,False,0,0
NBL1 South Women,210.0,2026-08-15,65,61,Knox W,Waverley W,80,54,False,0,0
NBL1 West,214.0,2026-08-15,3529,3521,Rockingham Flames,Geraldton Buccaneers,66,62,False,0,0
NBL1 West Women,213.0,2026-08-15,3506,3517,Cockburn Cougars W,Warwick Senators W,76,102,False,0,0
VBA,276.0,2026-08-15,3993,3996,Da Nang Dragons,Nhatrang Dolphins,78,112,False,0,0
EuroBasket U16,336.0,2026-08-14,4749,4646,Belgium U16,Slovenia U16,85,82,False,0,0
EuroBasket U16,336.0,2026-08-14,4752,4645,Czech Republic U16,Serbia U16,63,95,False,0,0
EuroBasket U16,336.0,2026-08-14,4637,4761,Germany U16,Romania U16,79,52,False,0,0
EuroBasket U16,336.0,2026-08-14,4639,4649,Israel U16,Georgia U16,91,72,False,0,0
EuroBasket U16,336.0,2026-08-14,4640,4648,Italy U16,Turkey U16,60,82,False,0,0
EuroBasket U16,336.0,2026-08-14,4642,4636,Lithuania U16,France U16,82,92,False,0,0
EuroBasket U16,336.0,2026-08-14,4654,4638,Poland U16,Greece U16,84,102,False,0,0
EuroBasket U16,336.0,2026-08-14,4647,4641,Spain U16,Latvia U16,87,92,False,0,0
EuroBasket U16 B,341.0,2026-08-14,4634,4635,Croatia U16,Estonia U16,87,62,False,0,0
EuroBasket U16 B,341.0,2026-08-14,4753,4759,Denmark U16,Norway U16,95,81,False,0,0
EuroBasket U16 B,341.0,2026-08-14,4756,4633,Iceland U16,Bosnia & Herzegovina U16,95,51,False,0,0
EuroBasket U16 B,341.0,2026-08-14,4757,4652,Ireland U16,Finland U16,62,72,False,0,0
EuroBasket U16 B,341.0,2026-08-14,4650,4754,Montenegro U16,Great Britain U16,83,71,False,0,0
EuroBasket U16 B,341.0,2026-08-14,4651,4653,Netherlands U16,Sweden U16,76,66,False,0,0
EuroBasket U16 B,341.0,2026-08-14,4643,4755,North Macedonia U16,Hungary U16,95,76,False,0,0
EuroBasket U16 B,341.0,2026-08-14,4760,4751,Portugal U16,Cyprus U16,75,66,False,0,0
EuroBasket U16 B,341.0,2026-08-14,4762,4747,Slovakia U16,Austria U16,73,49,False,0,0
EuroBasket U16 B,341.0,2026-08-14,4764,4750,Ukraine U16,Bulgaria U16,73,78,False,0,0
Friendly International Women,290.0,2026-08-14,3042,3047,Japan W,South Korea W,78,77,False,0,0
Friendly International Women,290.0,2026-08-14,4019,4183,Turkey W,Portugal W,63,51,False,0,0
Governors Cup,152.0,2026-08-14,4899,2771,Converge FiberXers,NLEX Road Warriors,112,110,False,0,0
Governors Cup,152.0,2026-08-14,2770,2767,Meralco Bolts,Barangay Ginebra San Miguel,97,88,False,0,0
LNB,114.0,2026-08-14,6446,1377,Naviera Ulloa,Ancud,71,82,False,0,0
LNB,258.0,2026-08-14,2997,4936,Olimpia Kings,Felix Perez Cardozo,108,87,False,0,0
LNB,114.0,2026-08-14,1383,5114,Puente Alto,Colo Colo,85,72,False,0,0
NBA W,,2026-08-14,166,165,Indiana Fever W,Dallas Wings W,98,87,False,0,0
NBA W,,2026-08-14,167,175,Las Vegas Aces W,Washington Mystics W,83,76,False,0,0
NBA W,,2026-08-14,170,168,New York Liberty W,Los Angeles Sparks W,85,81,False,0,0
VBA,276.0,2026-08-14,3994,3992,Hanoi Buffaloes,Can Tho Catfish,91,73,False,0,0
BSN,,2026-08-13,950,958,Aguada Santeros,Vaqueros de Bayamon,86,87,False,0,0
EuroBasket U16 B,341.0,2026-08-13,4750,4747,Bulgaria U16,Austria U16,71,74,False,0,0
EuroBasket U16 B,341.0,2026-08-13,4634,4651,Croatia U16,Netherlands U16,80,51,False,0,0
EuroBasket U16 B,341.0,2026-08-13,4754,4633,Great Britain U16,Bosnia & Herzegovina U16,73,83,True,7,17
EuroBasket U16 B,341.0,2026-08-13,4755,4652,Hungary U16,Finland U16,79,87,False,0,0
EuroBasket U16 B,341.0,2026-08-13,4757,4643,Ireland U16,North Macedonia U16,83,58,False,0,0
EuroBasket U16 B,341.0,2026-08-13,4765,4753,Luxembourg U16,Denmark U16,49,84,False,0,0
EuroBasket U16 B,341.0,2026-08-13,4650,4756,Montenegro U16,Iceland U16,69,91,False,0,0
EuroBasket U16 B,341.0,2026-08-13,4653,4635,Sweden U16,Estonia U16,70,86,False,0,0
EuroBasket U16 B,341.0,2026-08-13,4763,4760,Switzerland U16,Portugal U16,59,90,False,0,0
EuroBasket U16 B,341.0,2026-08-13,4764,4762,Ukraine U16,Slovakia U16,66,95,False,0,0
Friendly International Women,290.0,2026-08-13,3042,3047,Japan W,South Korea W,77,59,False,0,0
LNB,258.0,2026-08-13,7927,7424,Capiata Bulls,Deportivo Amambay,39,88,False,0,0
LNB,258.0,2026-08-13,3900,3899,Dep. San Jose,Colonias Gold,105,95,False,0,0
LNB,258.0,2026-08-13,3901,4935,San Alfonzo,Deportivo Campoalto,75,86,False,0,0
LNB,114.0,2026-08-13,1387,1382,U. De Concepcion,Leones Quilpue,97,76,False,0,0
LNBP,63.0,2026-08-13,819,6063,Astros,Santos,82,57,False,0,0
LNBP,63.0,2026-08-13,830,6479,Panteras,Lobos Plateados,73,69,False,0,0
LNBP,63.0,2026-08-13,833,817,Soles,Abejas,87,80,False,0,0
MPBL,,2026-08-13,7360,7421,Manila Batang Quiapo,Marikina Shoemasters,84,108,False,0,0
MPBL,,2026-08-13,7889,7369,Negros Hacienderos,Pasig City,90,100,False,0,0
MPBL,,2026-08-13,7367,7371,Paranaque Patriots,Quezon Huskers,66,116,False,0,0
NBA W,,2026-08-13,164,162,Connecticut Sun W,Atlanta Dream W,69,104,False,0,0
NBA W,,2026-08-13,165,7870,Dallas Wings W,Toronto Tempo W,94,88,False,0,0
NBA W,,2026-08-13,7326,163,Golden State Valkyries W,Chicago Sky W,91,71,False,0,0
NBA W,,2026-08-13,7100,169,Portland Fire W,Minnesota Lynx W,81,85,False,0,0
VBA,276.0,2026-08-13,3993,3996,Da Nang Dragons,Nhatrang Dolphins,90,94,False,0,0
EuroBasket U16,336.0,2026-08-12,4752,4749,Czech Republic U16,Belgium U16,93,88,True,10,5
EuroBasket U16,336.0,2026-08-12,4640,4639,Italy U16,Israel U16,86,75,False,0,0
EuroBasket U16,336.0,2026-08-12,4641,4638,Latvia U16,Greece U16,92,80,False,0,0
EuroBasket U16,336.0,2026-08-12,4642,4637,Lithuania U16,Germany U16,82,75,False,0,0
EuroBasket U16,336.0,2026-08-12,4654,4647,Poland U16,Spain U16,74,86,False,0,0
EuroBasket U16,336.0,2026-08-12,4761,4636,Romania U16,France U16,69,108,False,0,0
EuroBasket U16,336.0,2026-08-12,4645,4646,Serbia U16,Slovenia U16,95,91,True,14,10
EuroBasket U16,336.0,2026-08-12,4648,4649,Turkey U16,Georgia U16,79,71,False,0,0
Friendly International Women,290.0,2026-08-12,3039,3044,China W,Nigeria W,77,88,False,0,0
Governors Cup,152.0,2026-08-12,2769,2773,Magnolia Hotshots,Phoenix Fuelmasters,115,101,False,0,0
Governors Cup,152.0,2026-08-12,7853,2775,Titan Ultra Giant Risers,San Miguel Beermen,113,143,False,0,0
LNB,114.0,2026-08-12,1388,1378,Valdivia,CD Puerto Varas,96,69,False,0,0
LNBP,63.0,2026-08-12,819,6063,Astros,Santos,103,82,False,0,0
LNBP,63.0,2026-08-12,822,7437,Dorados,Gambusinos,91,77,False,0,0
LNBP,63.0,2026-08-12,6478,829,El Calor de Cancun,Mineros,67,78,False,0,0
LNBP,63.0,2026-08-12,5985,821,Freseros,Correcaminos,83,86,False,0,0
LNBP,63.0,2026-08-12,830,6479,Panteras,Lobos Plateados,111,88,False,0,0
LNBP,63.0,2026-08-12,833,817,Soles,Abejas,71,68,False,0,0
MPBL,,2026-08-12,7352,7359,Batangas City,Imus Braderhood,88,80,False,0,0
MPBL,,2026-08-12,7354,7347,Bulacan Kuyas,Abra Weavers,84,110,False,0,0
MPBL,,2026-08-12,7358,7888,Ilagan Isabela Cowboys,Cebu Greats,52,80,False,0,0
NBA W,,2026-08-12,167,175,Las Vegas Aces W,Washington Mystics W,86,76,False,0,0
NBA W,,2026-08-12,168,171,Los Angeles Sparks W,Phoenix Mercury W,87,94,False,0,0
EuroBasket U16,336.0,2026-08-11,4636,4649,France U16,Georgia U16,89,54,False,0,0
EuroBasket U16,336.0,2026-08-11,4639,4637,Israel U16,Germany U16,75,78,False,0,0
EuroBasket U16,336.0,2026-08-11,4641,4645,Latvia U16,Serbia U16,99,59,False,0,0
EuroBasket U16,336.0,2026-08-11,4642,4640,Lithuania U16,Italy U16,80,72,False,0,0
EuroBasket U16,336.0,2026-08-11,4654,4752,Poland U16,Czech Republic U16,96,68,False,0,0
EuroBasket U16,336.0,2026-08-11,4646,4638,Slovenia U16,Greece U16,78,83,False,0,0
EuroBasket U16,336.0,2026-08-11,4647,4749,Spain U16,Belgium U16,97,60,False,0,0
EuroBasket U16,336.0,2026-08-11,4648,4761,Turkey U16,Romania U16,62,71,False,0,0
EuroBasket U16 B,341.0,2026-08-11,4634,4756,Croatia U16,Iceland U16,80,53,False,0,0
EuroBasket U16 B,341.0,2026-08-11,4751,4763,Cyprus U16,Switzerland U16,64,44,False,0,0
EuroBasket U16 B,341.0,2026-08-11,4652,4633,Finland U16,Bosnia & Herzegovina U16,70,74,False,0,0
EuroBasket U16 B,341.0,2026-08-11,4754,4635,Great Britain U16,Estonia U16,77,69,False,0,0
EuroBasket U16 B,341.0,2026-08-11,4755,4753,Hungary U16,Denmark U16,95,68,False,0,0
EuroBasket U16 B,341.0,2026-08-11,4765,4750,Luxembourg U16,Bulgaria U16,55,65,False,0,0
EuroBasket U16 B,341.0,2026-08-11,4651,4650,Netherlands U16,Montenegro U16,53,77,False,0,0
EuroBasket U16 B,341.0,2026-08-11,4759,4653,Norway U16,Sweden U16,69,105,False,0,0
EuroBasket U16 B,341.0,2026-08-11,4760,4762,Portugal U16,Slovakia U16,71,91,False,0,0
EuroBasket U16 B,341.0,2026-08-11,4764,4643,Ukraine U16,North Macedonia U16,84,70,False,0,0
Governors Cup,152.0,2026-08-11,4899,2777,Converge FiberXers,Terrafirma Dyip,120,103,False,0,0
Governors Cup,152.0,2026-08-11,2771,2776,NLEX Road Warriors,TNT Tropang 5G,118,111,True,11,4
LNB,258.0,2026-08-11,4936,3901,Felix Perez Cardozo,San Alfonzo,88,85,False,0,0
LNB,114.0,2026-08-11,1384,4921,Puerto Montt,Espanol Osorno,82,79,False,0,0
LNBP,63.0,2026-08-11,6477,823,Diablos Rojos,Fuerza Regia,94,95,False,0,0
LNBP,63.0,2026-08-11,822,7437,Dorados,Gambusinos,89,81,False,0,0
LNBP,63.0,2026-08-11,6478,829,El Calor de Cancun,Mineros,69,76,False,0,0
LNBP,63.0,2026-08-11,5985,821,Freseros,Correcaminos,99,96,False,0,0
MPBL,,2026-08-11,7350,7374,Bataan Risers,Sarangani Marlins,90,73,False,0,0
MPBL,,2026-08-11,7351,7357,Batang Kankaloo,GenSan Warriors,82,85,False,0,0
MPBL,,2026-08-11,7376,7883,Zamboanga Sikat,Valenzuela City Darkhorse,76,73,False,0,0
NBA W,,2026-08-11,162,7870,Atlanta Dream W,Toronto Tempo W,107,95,False,0,0
NBA W,,2026-08-11,166,170,Indiana Fever W,New York Liberty W,106,92,False,0,0
NBA W,,2026-08-11,172,163,Seattle Storm W,Chicago Sky W,97,88,False,0,0
African Championship U18,319.0,2026-08-10,4428,6540,Senegal U18,Cameroon U18,46,49,False,0,0
African Championship U18,319.0,2026-08-10,4434,4433,Tunisia U18,Rwanda U18,60,53,False,0,0
African Championship U18 Women,323.0,2026-08-10,7921,4482,Central African Republic U18 W,Uganda U18 W,43,86,False,0,0
African Championship U18 Women,323.0,2026-08-10,7923,7922,Kenya U18 W,Ivory Coast U18 W,28,66,False,0,0
African Championship U18 Women,323.0,2026-08-10,4475,4474,Mali U18 W,Egypt U18 W,62,57,False,0,0
African Championship U18 Women,323.0,2026-08-10,6544,7920,Morocco U18 W,Benin U18 W,59,45,False,0,0
BSN,,2026-08-10,958,950,Vaqueros de Bayamon,Aguada Santeros,91,75,False,0,0
EuroBasket U16 B,341.0,2026-08-10,4633,4765,Bosnia & Herzegovina U16,Luxembourg U16,76,70,False,0,0
EuroBasket U16 B,341.0,2026-08-10,4753,4754,Denmark U16,Great Britain U16,84,63,False,0,0
EuroBasket U16 B,341.0,2026-08-10,4635,4747,Estonia U16,Austria U16,66,45,False,0,0
EuroBasket U16 B,341.0,2026-08-10,4756,4751,Iceland U16,Cyprus U16,61,58,False,0,0
EuroBasket U16 B,341.0,2026-08-10,4650,4757,Montenegro U16,Ireland U16,91,72,False,0,0
EuroBasket U16 B,341.0,2026-08-10,4643,4763,North Macedonia U16,Switzerland U16,89,76,False,0,0
EuroBasket U16 B,341.0,2026-08-10,4759,4652,Norway U16,Finland U16,72,116,False,0,0
EuroBasket U16 B,341.0,2026-08-10,4762,4651,Slovakia U16,Netherlands U16,58,64,False,0,0
EuroBasket U16 B,341.0,2026-08-10,4653,4750,Sweden U16,Bulgaria U16,81,73,False,0,0
EuroBasket U16 B,341.0,2026-08-10,4764,4634,Ukraine U16,Croatia U16,54,110,False,0,0
LNB,258.0,2026-08-10,3899,2997,Colonias Gold,Olimpia Kings,71,60,False,0,0
LNB,258.0,2026-08-10,7424,3900,Deportivo Amambay,Dep. San Jose,69,71,False,0,0
LNB,258.0,2026-08-10,4935,7927,Deportivo Campoalto,Capiata Bulls,101,73,False,0,0
MPBL,,2026-08-10,7360,7373,Manila Batang Quiapo,San Juan Knights,75,124,False,0,0
MPBL,,2026-08-10,7421,7362,Marikina Shoemasters,Mindoro Tamaraws,69,71,False,0,0
MPBL,,2026-08-10,7367,7353,Paranaque Patriots,Binan Tatak Gel,86,110,False,0,0
African Championship U18,319.0,2026-08-09,4157,7919,Egypt U18,Chad U18,53,73,False,0,0
African Championship U18,319.0,2026-08-09,4437,5045,Gabon U18,Morocco U18,67,62,False,0,0
African Championship U18,319.0,2026-08-09,4427,4439,Mali U18,Madagascar U18,53,44,False,0,0
African Championship U18,319.0,2026-08-09,5047,4438,Nigeria U18,Ivory Coast U18,68,77,False,0,0
African Championship U18 Women,323.0,2026-08-09,6543,6547,Cameroon U18 W,Tunisia U18 W,61,51,False,0,0
African Championship U18 Women,323.0,2026-08-09,6545,4476,Nigeria U18 W,Senegal U18 W,70,40,False,0,0
BIG3,178.0,2026-08-09,2917,7432,Ball Hogs,Detroit Amps,39,51,False,0,0
BIG3,178.0,2026-08-09,2922,2925,Power,Triplets,50,42,False,0,0
EuroBasket U16,336.0,2026-08-09,4637,4636,Germany U16,France U16,58,87,False,0,0
EuroBasket U16,336.0,2026-08-09,4638,4649,Greece U16,Georgia U16,86,63,False,0,0
EuroBasket U16,336.0,2026-08-09,4639,4647,Israel U16,Spain U16,62,101,False,0,0
EuroBasket U16,336.0,2026-08-09,4641,4752,Latvia U16,Czech Republic U16,95,80,False,0,0
EuroBasket U16,336.0,2026-08-09,4642,4761,Lithuania U16,Romania U16,94,86,True,12,4
EuroBasket U16,336.0,2026-08-09,4654,4645,Poland U16,Serbia U16,72,70,False,0,0
EuroBasket U16,336.0,2026-08-09,4646,4749,Slovenia U16,Belgium U16,80,67,False,0,0
EuroBasket U16,336.0,2026-08-09,4648,4640,Turkey U16,Italy U16,77,69,False,0,0
LNB,114.0,2026-08-09,1379,1387,Catolica,U. De Concepcion,54,79,False,0,0
LNB,114.0,2026-08-09,5114,1387,Colo Colo,U. De Concepcion,72,93,False,0,0
LNB,114.0,2026-08-09,1383,1447,Puente Alto,Espanol de Talca,104,79,False,0,0
LNB,114.0,2026-08-09,1388,1384,Valdivia,Puerto Montt,80,74,False,0,0
LNB 2,,2026-08-09,3585,7377,Sportiva Italiana,CD Huachipato,94,82,False,0,0
LNBP,63.0,2026-08-09,6477,823,Diablos Rojos,Fuerza Regia,64,76,False,0,0
NBA W,,2026-08-09,168,7326,Los Angeles Sparks W,Golden State Valkyries W,78,84,False,0,0
NBA W,,2026-08-09,169,165,Minnesota Lynx W,Dallas Wings W,103,90,False,0,0
NBA W,,2026-08-09,170,167,New York Liberty W,Las Vegas Aces W,111,71,False,0,0
NBA W,,2026-08-09,7100,172,Portland Fire W,Seattle Storm W,100,93,False,0,0
NBA W,,2026-08-09,175,171,Washington Mystics W,Phoenix Mercury W,95,75,False,0,0
NBL,,2026-08-09,858,861,Southland Sharks,Wellington Saints,104,101,False,0,0
NBL1 North Women,208.0,2026-08-09,3473,3465,Townsville Flames W,Mackay Meteorettes W,87,120,False,0,0
NBL1 South Women,210.0,2026-08-09,65,56,Knox W,Sandringham W,80,78,False,0,0
NBL1 South Women,210.0,2026-08-09,61,62,Waverley W,Diamond Valley W,70,61,False,0,0
NBL1 West,214.0,2026-08-09,3523,3521,Joondalup Wolves,Geraldton Buccaneers,76,88,False,0,0
NBL1 West Women,213.0,2026-08-09,3506,3507,Cockburn Cougars W,East Perth Eagles W,120,86,False,0,0
VBA,276.0,2026-08-09,3994,3993,Hanoi Buffaloes,Da Nang Dragons,120,91,False,0,0
African Championship U18,319.0,2026-08-08,6540,4433,Cameroon U18,Rwanda U18,76,58,False,0,0
African Championship U18,319.0,2026-08-08,4434,4428,Tunisia U18,Senegal U18,34,55,False,0,0
African Championship U18 Women,323.0,2026-08-08,7921,7923,Central African Republic U18 W,Kenya U18 W,36,74,False,0,0
African Championship U18 Women,323.0,2026-08-08,4474,7920,Egypt U18 W,Benin U18 W,95,48,False,0,0
African Championship U18 Women,323.0,2026-08-08,7922,4482,Ivory Coast U18 W,Uganda U18 W,80,44,False,0,0
African Championship U18 Women,323.0,2026-08-08,4475,6544,Mali U18 W,Morocco U18 W,103,30,False,0,0
CEBL,,2026-08-08,5960,1445,Brampton Honey Badgers,Niagara River Lions,91,81,False,0,0
CEBL,,2026-08-08,3571,5961,Vancouver Bandits,Winnipeg Sea Bears,96,107,False,0,0
EuroBasket U16,336.0,2026-08-08,4749,4636,Belgium U16,France U16,61,85,False,0,0
EuroBasket U16,336.0,2026-08-08,4752,4640,Czech Republic U16,Italy U16,110,77,False,0,0
EuroBasket U16,336.0,2026-08-08,4649,4647,Georgia U16,Spain U16,51,75,False,0,0
EuroBasket U16,336.0,2026-08-08,4638,4639,Greece U16,Israel U16,84,89,False,0,0
EuroBasket U16,336.0,2026-08-08,4641,4648,Latvia U16,Turkey U16,88,63,False,0,0
EuroBasket U16,336.0,2026-08-08,4642,4654,Lithuania U16,Poland U16,83,66,False,0,0
EuroBasket U16,336.0,2026-08-08,4761,4645,Romania U16,Serbia U16,75,73,False,0,0
EuroBasket U16,336.0,2026-08-08,4646,4637,Slovenia U16,Germany U16,93,70,False,0,0
EuroBasket U16 B,341.0,2026-08-08,4747,4753,Austria U16,Denmark U16,79,62,False,0,0
EuroBasket U16 B,341.0,2026-08-08,4750,4633,Bulgaria U16,Bosnia & Herzegovina U16,74,84,False,0,0
EuroBasket U16 B,341.0,2026-08-08,4634,4643,Croatia U16,North Macedonia U16,112,57,False,0,0
EuroBasket U16 B,341.0,2026-08-08,4751,4764,Cyprus U16,Ukraine U16,55,62,False,0,0
EuroBasket U16 B,341.0,2026-08-08,4652,4653,Finland U16,Sweden U16,98,79,False,0,0
