MatchId,Fecha,Local,Visita,HomeTeamId,AwayTeamId,Estado,ResultadoReal,Acierto,Mercado,Seleccion,Probabilidad
21974_608_2026-09-08,2026-09-08,Vardarac,HNK Hajduk Split,21974,608,PENDIENTE,,,Goles,+1.5 Goles,0.891
1163_2075_2026-09-08,2026-09-08,Ilves,FF Jaro,1163,2075,PENDIENTE,,,Doble Oportunidad,1X,0.86
1166_587_2026-09-08,2026-09-08,Lahti,Mariehamn,1166,587,PENDIENTE,,,Goles,+1.5 Goles,0.836
1168_689_2026-09-08,2026-09-08,Turku PS,SJK,1168,689,PENDIENTE,,,Mega-Misil SGBB,1X_U35,0.855
1168_689_2026-09-08,2026-09-08,Turku PS,SJK,1168,689,PENDIENTE,,,Mega-Misil SGBB,1X_U45,0.905
1168_689_2026-09-08,2026-09-08,Turku PS,SJK,1168,689,PENDIENTE,,,Doble Oportunidad,1X,0.925
1168_689_2026-09-08,2026-09-08,Turku PS,SJK,1168,689,PENDIENTE,,,Goles,-3.5 Goles,0.929
1168_689_2026-09-08,2026-09-08,Turku PS,SJK,1168,689,PENDIENTE,,,Ambos Anotan,No,0.805
650_2077_2026-09-08,2026-09-08,VPS,AC Oulu,650,2077,PENDIENTE,,,Goles,-3.5 Goles,0.871
2082_1165_2026-09-08,2026-09-08,Gnistan,KuPS,2082,1165,PENDIENTE,,,Goles,+1.5 Goles,0.845
2934_2930_2026-09-08,2026-09-08,Al-Ettifaq,Al-Faisaly FC,2934,2930,PENDIENTE,,,Goles,+1.5 Goles,0.892
2933_2929_2026-09-08,2026-09-08,Al-Qadisiyah FC,Al-Ahli Jeddah,2933,2929,PENDIENTE,,,Goles,+1.5 Goles,0.805
9178_1172_2026-09-08,2026-09-08,PEPO,HIFK Helsinki,9178,1172,PENDIENTE,,,Doble Oportunidad,1X,0.851
9178_1172_2026-09-08,2026-09-08,PEPO,HIFK Helsinki,9178,1172,PENDIENTE,,,Goles,+1.5 Goles,0.879
13517_13508_2026-09-08,2026-09-08,HPS,PPJ,13517,13508,PENDIENTE,,,Goles,+1.5 Goles,0.919
9174_10667_2026-09-08,2026-09-08,Kiffen,Atlantis,9174,10667,PENDIENTE,,,Goles,+1.5 Goles,0.971
9174_10667_2026-09-08,2026-09-08,Kiffen,Atlantis,9174,10667,PENDIENTE,,,Goles,+2.5 Goles,0.891
9174_10667_2026-09-08,2026-09-08,Kiffen,Atlantis,9174,10667,PENDIENTE,,,Ambos Anotan,Sí,0.863
11070_25061_2026-09-08,2026-09-08,Erbil,Diyala,11070,25061,PENDIENTE,,,Doble Oportunidad,1X,0.807
26600_5242_2026-09-08,2026-09-08,Gharraf,Al Shorta,26600,5242,PENDIENTE,,,Doble Oportunidad,X2,0.803
26600_5242_2026-09-08,2026-09-08,Gharraf,Al Shorta,26600,5242,PENDIENTE,,,Goles,-3.5 Goles,0.948
2956_26357_2026-09-08,2026-09-08,Damac,Al Ula,2956,26357,PENDIENTE,,,Mega-Misil SGBB,X2_U35,0.87
2956_26357_2026-09-08,2026-09-08,Damac,Al Ula,2956,26357,PENDIENTE,,,Mega-Misil SGBB,X2_U45,0.929
2956_26357_2026-09-08,2026-09-08,Damac,Al Ula,2956,26357,PENDIENTE,,,Doble Oportunidad,X2,0.955
2956_26357_2026-09-08,2026-09-08,Damac,Al Ula,2956,26357,PENDIENTE,,,Goles,-3.5 Goles,0.914
2956_26357_2026-09-08,2026-09-08,Damac,Al Ula,2956,26357,PENDIENTE,,,Ambos Anotan,No,0.842
10503_2942_2026-09-08,2026-09-08,Al Anwar,Al Taee,10503,2942,PENDIENTE,,,Goles,+1.5 Goles,0.892
16216_328_2026-09-08,2026-09-08,Djerv,Haugesund,16216,328,PENDIENTE,,,Goles,+1.5 Goles,0.891
2158_2147_2026-09-08,2026-09-08,Tromsdalen Uil,Strommen,2158,2147,PENDIENTE,,,Goles,+1.5 Goles,0.836
6967_324_2026-09-08,2026-09-08,Asker,Stromsgodset,6967,324,PENDIENTE,,,Goles,+1.5 Goles,0.97
6967_324_2026-09-08,2026-09-08,Asker,Stromsgodset,6967,324,PENDIENTE,,,Goles,+2.5 Goles,0.887
6967_324_2026-09-08,2026-09-08,Asker,Stromsgodset,6967,324,PENDIENTE,,,Ambos Anotan,Sí,0.836
575_1026_2026-09-08,2026-09-08,AEK Athens FC,Lask Linz,575,1026,PENDIENTE,,,Goles,+1.5 Goles,0.922
569_66_2026-09-08,2026-09-08,Club Brugge KV,Aston Villa,569,66,PENDIENTE,,,Doble Oportunidad,1X,0.881
165_533_2026-09-08,2026-09-08,Borussia Dortmund,Villarreal,165,533,PENDIENTE,,,Goles,+1.5 Goles,0.84
212_50_2026-09-08,2026-09-08,FC Porto,Manchester City,212,50,PENDIENTE,,,Goles,+1.5 Goles,0.819
79_543_2026-09-08,2026-09-08,Lille,Real Betis,79,543,PENDIENTE,,,Goles,+1.5 Goles,0.836
541_505_2026-09-08,2026-09-08,Real Madrid,Inter,541,505,PENDIENTE,,,Goles,+1.5 Goles,0.827
13981_10883_2026-09-08,2026-09-08,KoldingQ W,Brøndby W,13981,10883,PENDIENTE,,,Goles,+1.5 Goles,0.909
1327_1652_2026-09-08,2026-09-08,VfR Aalen,SSV Ulm 1846,1327,1652,PENDIENTE,,,Goles,+1.5 Goles,0.816
1627_9363_2026-09-08,2026-09-08,Eintracht Trier,Freiburg II,1627,9363,PENDIENTE,,,Doble Oportunidad,X2,0.838
1627_9363_2026-09-08,2026-09-08,Eintracht Trier,Freiburg II,1627,9363,PENDIENTE,,,Goles,+1.5 Goles,0.828
1332_12788_2026-09-08,2026-09-08,FSV Frankfurt,Hessen Kassel,1332,12788,PENDIENTE,,,Doble Oportunidad,1X,0.802
1332_12788_2026-09-08,2026-09-08,FSV Frankfurt,Hessen Kassel,1332,12788,PENDIENTE,,,Goles,+1.5 Goles,0.919
1628_1656_2026-09-08,2026-09-08,Kickers Offenbach,TSV Steinbach,1628,1656,PENDIENTE,,,Goles,+1.5 Goles,0.914
189_12846_2026-09-08,2026-09-08,SV Sandhausen,SGV Freiberg,189,12846,PENDIENTE,,,Goles,+1.5 Goles,0.96
189_12846_2026-09-08,2026-09-08,SV Sandhausen,SGV Freiberg,189,12846,PENDIENTE,,,Goles,+2.5 Goles,0.861
189_12846_2026-09-08,2026-09-08,SV Sandhausen,SGV Freiberg,189,12846,PENDIENTE,,,Ambos Anotan,Sí,0.802
1626_12868_2026-09-08,2026-09-08,FC Astoria Walldorf,Stuttgarter Kickers,1626,12868,PENDIENTE,,,Doble Oportunidad,X2,0.81
1626_12868_2026-09-08,2026-09-08,FC Astoria Walldorf,Stuttgarter Kickers,1626,12868,PENDIENTE,,,Goles,+1.5 Goles,0.833
