League,Date,HomeTeam,AwayTeam,FTHG,FTAG,HC,AC,HY,AY,HR,AR,HS,AS,year_month
Eredivisie,2026-04-26,Excelsior,Utrecht,5.0,0.0,3.0,2.0,0.0,3.0,0.0,1.0,18.0,10.0,2026-04
La Liga,2026-04-26,Villarreal,Celta,2.0,1.0,7.0,5.0,3.0,6.0,0.0,0.0,13.0,9.0,2026-04
La Liga,2026-04-26,Osasuna,Sevilla,2.0,1.0,4.0,4.0,2.0,2.0,0.0,0.0,15.0,8.0,2026-04
Ligue 1,2026-04-26,Lorient,Strasbourg,2.0,3.0,9.0,7.0,1.0,2.0,0.0,0.0,14.0,11.0,2026-04
La Liga 2,2026-04-26,Mirandes,Cultural Leonesa,2.0,1.0,6.0,2.0,1.0,3.0,0.0,1.0,19.0,10.0,2026-04
Bundesliga,2026-04-26,Dortmund,Freiburg,4.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,17.0,7.0,2026-04
La Liga 2,2026-04-26,Cordoba,Sp Gijon,3.0,2.0,9.0,3.0,3.0,2.0,0.0,0.0,16.0,8.0,2026-04
La Liga 2,2026-04-26,Granada,Almeria,2.0,4.0,4.0,3.0,2.0,1.0,0.0,0.0,10.0,19.0,2026-04
Bundesliga,2026-04-26,Stuttgart,Werder Bremen,1.0,1.0,14.0,2.0,0.0,1.0,0.0,0.0,20.0,9.0,2026-04
Serie A,2026-04-26,Fiorentina,Sassuolo,0.0,0.0,7.0,4.0,2.0,1.0,0.0,0.0,22.0,11.0,2026-04
Serie A,2026-04-26,Genoa,Como,0.0,2.0,2.0,3.0,1.0,3.0,0.0,0.0,9.0,8.0,2026-04
Jupiler Pro League,2026-04-26,Gent,Club Brugge,0.0,2.0,7.0,9.0,2.0,0.0,0.0,0.0,17.0,16.0,2026-04
La Liga 2,2026-04-26,Huesca,Zaragoza,1.0,0.0,1.0,5.0,2.0,6.0,1.0,2.0,12.0,7.0,2026-04
Serie A,2026-04-26,Torino,Inter,2.0,2.0,5.0,5.0,1.0,2.0,0.0,0.0,14.0,14.0,2026-04
Premiership Escocia,2026-04-26,Dundee United,Dundee,3.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,18.0,10.0,2026-04
Premiership Escocia,2026-04-26,Hibernian,Hearts,1.0,2.0,0.0,11.0,3.0,3.0,2.0,0.0,4.0,23.0,2026-04
Ligue 1,2026-04-26,Le Havre,Metz,4.0,4.0,6.0,4.0,3.0,1.0,0.0,0.0,14.0,12.0,2026-04
Primeira Liga,2026-04-26,Estoril,Famalicao,0.0,1.0,9.0,4.0,0.0,2.0,0.0,0.0,9.0,6.0,2026-04
Primeira Liga,2026-04-26,Estrela,Porto,1.0,2.0,0.0,6.0,3.0,3.0,0.0,0.0,11.0,11.0,2026-04
Primeira Liga,2026-04-26,Santa Clara,Sp Braga,2.0,1.0,4.0,1.0,4.0,4.0,0.0,0.0,14.0,3.0,2026-04
Primeira Liga,2026-04-26,AVS,Sp Lisbon,1.0,1.0,0.0,9.0,3.0,1.0,0.0,0.0,11.0,20.0,2026-04
Premiership Escocia,2026-04-26,Rangers,Motherwell,2.0,3.0,7.0,5.0,1.0,2.0,0.0,0.0,16.0,9.0,2026-04
Ligue 1,2026-04-26,Marseille,Nice,1.0,1.0,7.0,1.0,4.0,1.0,0.0,0.0,24.0,5.0,2026-04
National League,2026-04-25,Altrincham,Gateshead,3.0,1.0,,,0.0,0.0,0.0,0.0,,,2026-04
Premier League,2026-04-25,Fulham,Aston Villa,1.0,0.0,2.0,5.0,2.0,2.0,0.0,0.0,13.0,10.0,2026-04
Serie A,2026-04-25,Parma,Pisa,1.0,0.0,7.0,4.0,1.0,2.0,0.0,0.0,15.0,12.0,2026-04
Serie A,2026-04-25,Bologna,Roma,0.0,2.0,7.0,7.0,0.0,3.0,0.0,0.0,10.0,7.0,2026-04
National League,2026-04-25,Boreham Wood,Sutton,1.0,0.0,,,2.0,2.0,0.0,0.0,,,2026-04
Championship Escocia,2026-04-25,Ross County,Morton,4.0,0.0,6.0,4.0,1.0,2.0,0.0,0.0,10.0,3.0,2026-04
Championship Escocia,2026-04-25,Airdrie Utd,Ayr,2.0,1.0,6.0,6.0,1.0,3.0,0.0,0.0,11.0,8.0,2026-04
Championship Escocia,2026-04-25,Arbroath,Partick,0.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,9.0,4.0,2026-04
Championship Escocia,2026-04-25,Queens Park,Dunfermline,0.0,2.0,1.0,5.0,2.0,2.0,0.0,0.0,5.0,12.0,2026-04
National League,2026-04-25,Aldershot,Truro,0.0,2.0,,,1.0,2.0,0.0,0.0,,,2026-04
League 2,2026-04-25,Barnet,Gillingham,6.0,2.0,9.0,3.0,2.0,2.0,0.0,0.0,23.0,4.0,2026-04
National League,2026-04-25,Boston Utd,Hartlepool,3.0,1.0,,,3.0,1.0,0.0,0.0,,,2026-04
League 1 Escocia,2026-04-25,Stenhousemuir,Alloa,1.0,0.0,7.0,1.0,2.0,0.0,0.0,0.0,10.0,14.0,2026-04
League 2,2026-04-25,Colchester,Notts County,0.0,1.0,4.0,5.0,3.0,3.0,0.0,0.0,6.0,18.0,2026-04
National League,2026-04-25,Carlisle,Brackley Town,3.0,0.0,,,0.0,2.0,0.0,0.0,,,2026-04
Premier League,2026-04-25,Liverpool,Crystal Palace,3.0,1.0,5.0,8.0,1.0,3.0,0.0,0.0,9.0,14.0,2026-04
Premier League,2026-04-25,West Ham,Everton,2.0,1.0,3.0,4.0,3.0,4.0,0.0,0.0,10.0,11.0,2026-04
Premier League,2026-04-25,Wolves,Tottenham,0.0,1.0,5.0,5.0,3.0,4.0,0.0,0.0,11.0,11.0,2026-04
National League,2026-04-25,Forest Green,Morecambe,5.0,0.0,,,0.0,0.0,0.0,0.0,,,2026-04
National League,2026-04-25,Rochdale,York,1.0,1.0,,,5.0,2.0,0.0,0.0,,,2026-04
League 2,2026-04-25,Bristol Rvs,Cheltenham,4.0,0.0,1.0,7.0,5.0,1.0,0.0,0.0,9.0,10.0,2026-04
League 2,2026-04-25,Cambridge,Barrow,3.0,0.0,10.0,3.0,0.0,3.0,0.0,0.0,15.0,3.0,2026-04
League 2,2026-04-25,Chesterfield,Crewe,2.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,14.0,6.0,2026-04
Championship,2026-04-25,Oxford,Sheffield Weds,4.0,1.0,5.0,3.0,1.0,0.0,0.0,0.0,20.0,9.0,2026-04
League 2,2026-04-25,Newport County,Oldham,3.0,2.0,6.0,4.0,2.0,2.0,0.0,1.0,24.0,12.0,2026-04
League 2,2026-04-25,Shrewsbury,Fleetwood Town,2.0,2.0,5.0,2.0,1.0,2.0,0.0,0.0,13.0,5.0,2026-04
League 2,2026-04-25,Accrington,Crawley Town,3.0,3.0,4.0,3.0,1.0,1.0,0.0,0.0,6.0,14.0,2026-04
League 2,2026-04-25,Milton Keynes Dons,Tranmere,3.0,0.0,6.0,2.0,0.0,2.0,0.0,0.0,18.0,11.0,2026-04
League 1 Escocia,2026-04-25,Queen of Sth,Montrose,2.0,2.0,2.0,2.0,0.0,4.0,0.0,0.0,12.0,6.0,2026-04
National League,2026-04-25,Yeovil,Solihull,1.0,4.0,,,3.0,1.0,0.0,0.0,,,2026-04
Ligue 2,2026-04-25,Grenoble,Le Mans,1.0,1.0,1.0,4.0,3.0,1.0,0.0,0.0,6.0,9.0,2026-04
Championship,2026-04-25,Sheffield United,Preston,2.0,3.0,10.0,5.0,0.0,3.0,0.0,0.0,17.0,12.0,2026-04
Ligue 1,2026-04-25,Lyon,Auxerre,3.0,2.0,6.0,3.0,1.0,2.0,0.0,0.0,12.0,9.0,2026-04
Championship,2026-04-25,Norwich,Swansea,1.0,1.0,5.0,2.0,3.0,5.0,0.0,0.0,16.0,8.0,2026-04
Championship,2026-04-25,Birmingham,Bristol City,2.0,1.0,6.0,5.0,3.0,1.0,0.0,0.0,11.0,9.0,2026-04
League 2,2026-04-25,Grimsby,Swindon,4.0,0.0,9.0,5.0,0.0,2.0,0.0,0.0,16.0,11.0,2026-04
La Liga,2026-04-25,Alaves,Mallorca,2.0,1.0,9.0,4.0,2.0,1.0,0.0,0.0,15.0,4.0,2026-04
Championship,2026-04-25,West Brom,Ipswich,0.0,0.0,2.0,6.0,2.0,3.0,0.0,0.0,12.0,13.0,2026-04
Championship,2026-04-25,Middlesbrough,Watford,5.0,1.0,6.0,3.0,1.0,2.0,0.0,0.0,20.0,12.0,2026-04
Championship,2026-04-25,Charlton,Hull,2.0,1.0,5.0,11.0,2.0,1.0,0.0,0.0,12.0,14.0,2026-04
Ligue 1,2026-04-25,Toulouse,Monaco,2.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0,18.0,8.0,2026-04
La Liga,2026-04-25,Ath Madrid,Ath Bilbao,3.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,6.0,12.0,2026-04
La Liga,2026-04-25,Valencia,Girona,2.0,1.0,4.0,4.0,2.0,2.0,0.0,0.0,12.0,7.0,2026-04
La Liga,2026-04-25,Getafe,Barcelona,0.0,2.0,6.0,3.0,2.0,2.0,0.0,0.0,4.0,13.0,2026-04
Ligue 1,2026-04-25,Angers,Paris SG,0.0,3.0,5.0,4.0,0.0,2.0,0.0,1.0,6.0,17.0,2026-04
League 1,2026-04-25,Lincoln,Wycombe,4.0,3.0,2.0,10.0,2.0,1.0,0.0,0.0,13.0,28.0,2026-04
La Liga 2,2026-04-25,Malaga,Castellon,2.0,3.0,1.0,3.0,2.0,4.0,0.0,0.0,12.0,13.0,2026-04
La Liga 2,2026-04-25,Burgos,La Coruna,1.0,1.0,7.0,3.0,3.0,3.0,1.0,0.0,12.0,7.0,2026-04
La Liga 2,2026-04-25,Valladolid,Sociedad B,1.0,0.0,9.0,1.0,2.0,1.0,0.0,0.0,11.0,11.0,2026-04
League 1 Escocia,2026-04-25,Kelty Hearts,Cove Rangers,0.0,2.0,8.0,2.0,3.0,2.0,0.0,0.0,11.0,11.0,2026-04
League 1 Escocia,2026-04-25,Hamilton,Peterhead,3.0,1.0,3.0,4.0,2.0,1.0,0.0,0.0,7.0,9.0,2026-04
League 1 Escocia,2026-04-25,East Fife,Inverness C,1.0,1.0,3.0,10.0,1.0,1.0,0.0,0.0,10.0,5.0,2026-04
Serie A,2026-04-25,Verona,Lecce,0.0,0.0,2.0,4.0,2.0,5.0,0.0,0.0,6.0,12.0,2026-04
Jupiler Pro League,2026-04-25,Westerlo,Antwerp,2.0,4.0,2.0,7.0,4.0,3.0,1.0,0.0,10.0,20.0,2026-04
Jupiler Pro League,2026-04-25,Genk,Standard,1.0,1.0,13.0,2.0,3.0,2.0,0.0,0.0,24.0,9.0,2026-04
Jupiler Pro League,2026-04-25,Oud-Heverlee Leuven,Charleroi,0.0,2.0,4.0,6.0,2.0,0.0,0.0,0.0,4.0,11.0,2026-04
League 2,2026-04-25,Walsall,Harrogate,0.0,2.0,10.0,3.0,3.0,2.0,0.0,0.0,18.0,11.0,2026-04
Serie B,2026-04-25,Virtus Entella,Padova,1.0,0.0,5.0,3.0,1.0,3.0,0.0,0.0,14.0,8.0,2026-04
Championship,2026-04-25,Stoke,Portsmouth,1.0,3.0,8.0,1.0,0.0,2.0,0.0,0.0,13.0,8.0,2026-04
Eredivisie,2026-04-25,NAC Breda,Ajax,0.0,2.0,11.0,2.0,0.0,2.0,0.0,0.0,21.0,8.0,2026-04
League 1,2026-04-25,Burton,Exeter,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,16.0,6.0,2026-04
League 1,2026-04-25,Bradford,Bolton,1.0,1.0,6.0,5.0,2.0,2.0,0.0,0.0,12.0,17.0,2026-04
League 1,2026-04-25,Blackpool,Leyton Orient,1.0,0.0,6.0,4.0,1.0,3.0,0.0,0.0,17.0,12.0,2026-04
League 1,2026-04-25,Stockport,Peterboro,3.0,1.0,7.0,7.0,2.0,1.0,0.0,0.0,28.0,11.0,2026-04
League 1,2026-04-25,Doncaster,Stevenage,1.0,1.0,4.0,3.0,2.0,1.0,0.0,0.0,12.0,8.0,2026-04
League 1,2026-04-25,Luton,Barnsley,2.0,1.0,9.0,5.0,1.0,5.0,0.0,0.0,17.0,13.0,2026-04
League 1,2026-04-25,Plymouth,Port Vale,2.0,1.0,6.0,11.0,2.0,2.0,1.0,0.0,16.0,15.0,2026-04
Serie B,2026-04-25,Catanzaro,Spezia,4.0,2.0,9.0,2.0,1.0,3.0,0.0,0.0,14.0,12.0,2026-04
League 1,2026-04-25,Rotherham,Reading,1.0,1.0,3.0,2.0,3.0,2.0,0.0,0.0,15.0,6.0,2026-04
Eredivisie,2026-04-25,Twente,Nijmegen,1.0,1.0,3.0,9.0,1.0,2.0,0.0,0.0,13.0,20.0,2026-04
League 2 Escocia,2026-04-25,Spartans,Elgin,1.0,1.0,4.0,3.0,2.0,3.0,0.0,0.0,6.0,8.0,2026-04
League 2 Escocia,2026-04-25,Forfar,Edinburgh City,4.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,12.0,4.0,2026-04
League 2 Escocia,2026-04-25,Dumbarton,East Kilbride,0.0,1.0,3.0,2.0,2.0,2.0,0.0,0.0,7.0,19.0,2026-04
League 2 Escocia,2026-04-25,Clyde,Annan Athletic,3.0,1.0,7.0,4.0,1.0,1.0,0.0,0.0,13.0,5.0,2026-04
National League,2026-04-25,Woking,Halifax,0.0,1.0,,,2.0,5.0,0.0,0.0,,,2026-04
Turkey Super Lig,2026-04-25,Kayserispor,Rizespor,2.0,0.0,8.0,6.0,3.0,2.0,0.0,0.0,17.0,12.0,2026-04
Turkey Super Lig,2026-04-25,Goztep,Antalyaspor,2.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0,16.0,19.0,2026-04
League 1,2026-04-25,Wigan,AFC Wimbledon,0.0,1.0,10.0,3.0,3.0,4.0,0.0,0.0,16.0,4.0,2026-04
Primeira Liga,2026-04-25,Guimaraes,Rio Ave,2.0,0.0,3.0,5.0,4.0,4.0,0.0,0.0,11.0,5.0,2026-04
Ligue 2,2026-04-25,Reims,Nancy,1.0,1.0,4.0,0.0,3.0,7.0,0.0,1.0,12.0,7.0,2026-04
Premier League,2026-04-25,Arsenal,Newcastle,1.0,0.0,7.0,2.0,2.0,2.0,0.0,0.0,11.0,13.0,2026-04
Bundesliga 2,2026-04-25,Hertha,Holstein Kiel,0.0,1.0,5.0,3.0,4.0,4.0,0.0,0.0,23.0,6.0,2026-04
Bundesliga 2,2026-04-25,Karlsruhe,Hannover,1.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,8.0,10.0,2026-04
Bundesliga 2,2026-04-25,Preußen Münster,Bielefeld,2.0,3.0,7.0,1.0,3.0,0.0,0.0,0.0,17.0,12.0,2026-04
Bundesliga 2,2026-04-25,Darmstadt,Elversberg,3.0,3.0,5.0,7.0,2.0,2.0,1.0,0.0,13.0,17.0,2026-04
League 1,2026-04-25,Cardiff,Northampton,5.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,25.0,10.0,2026-04
Turkey Super Lig,2026-04-25,Eyupspor,Gaziantep,3.0,0.0,6.0,5.0,2.0,2.0,0.0,0.0,14.0,11.0,2026-04
League 2 Escocia,2026-04-25,Stranraer,Stirling,1.0,1.0,13.0,3.0,0.0,3.0,1.0,0.0,18.0,6.0,2026-04
Serie B,2026-04-25,Sudtirol,Mantova,0.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,9.0,11.0,2026-04
Primeira Liga,2026-04-25,Tondela,Nacional,0.0,2.0,8.0,7.0,2.0,1.0,0.0,0.0,22.0,17.0,2026-04
National League,2026-04-25,Tamworth,Braintree Town,5.0,1.0,,,1.0,1.0,0.0,0.0,,,2026-04
National League,2026-04-25,Southend,Wealdstone,2.0,1.0,,,2.0,1.0,0.0,0.0,,,2026-04
National League,2026-04-25,Scunthorpe,Eastleigh,0.0,1.0,,,1.0,3.0,0.0,0.0,,,2026-04
Championship,2026-04-25,QPR,Derby,2.0,3.0,10.0,6.0,1.0,3.0,0.0,0.0,23.0,12.0,2026-04
Ligue 2,2026-04-25,St Etienne,Troyes,0.0,3.0,9.0,3.0,2.0,4.0,0.0,0.0,13.0,16.0,2026-04
League 1,2026-04-25,Huddersfield,Mansfield,1.0,4.0,6.0,3.0,1.0,2.0,0.0,0.0,15.0,10.0,2026-04
Premiership Escocia,2026-04-25,St Mirren,Livingston,0.0,2.0,8.0,7.0,2.0,2.0,0.0,0.0,17.0,4.0,2026-04
Serie B,2026-04-25,Cesena,Sampdoria,0.0,0.0,4.0,5.0,1.0,3.0,0.0,0.0,10.0,13.0,2026-04
Premiership Escocia,2026-04-25,Aberdeen,Kilmarnock,1.0,0.0,6.0,5.0,1.0,4.0,0.0,0.0,10.0,11.0,2026-04
Premiership Escocia,2026-04-25,Celtic,Falkirk,3.0,1.0,9.0,7.0,2.0,3.0,0.0,0.0,14.0,11.0,2026-04
Serie B,2026-04-25,Venezia,Empoli,2.0,0.0,9.0,6.0,0.0,2.0,0.0,0.0,18.0,9.0,2026-04
Serie B,2026-04-25,Reggiana,Palermo,1.0,1.0,2.0,7.0,3.0,1.0,1.0,0.0,3.0,20.0,2026-04
Bundesliga,2026-04-25,Hamburg,Hoffenheim,1.0,2.0,4.0,9.0,2.0,4.0,0.0,0.0,12.0,15.0,2026-04
Primeira Liga,2026-04-25,Benfica,Moreirense,4.0,1.0,9.0,2.0,2.0,2.0,0.0,0.0,18.0,8.0,2026-04
Serie B,2026-04-25,Frosinone,Carrarese,3.0,0.0,8.0,8.0,2.0,3.0,0.0,0.0,20.0,15.0,2026-04
Bundesliga,2026-04-25,Augsburg,Ein Frankfurt,1.0,1.0,9.0,7.0,1.0,2.0,0.0,0.0,17.0,19.0,2026-04
Eredivisie,2026-04-25,Feyenoord,Groningen,3.0,1.0,3.0,3.0,0.0,2.0,0.0,0.0,10.0,10.0,2026-04
Eredivisie,2026-04-25,Heerenveen,For Sittard,2.0,1.0,7.0,0.0,2.0,1.0,0.0,1.0,15.0,16.0,2026-04
Serie B,2026-04-25,Pescara,Juve Stabia,1.0,1.0,3.0,2.0,2.0,4.0,0.0,0.0,8.0,13.0,2026-04
Bundesliga,2026-04-25,Wolfsburg,M'gladbach,0.0,0.0,8.0,5.0,1.0,3.0,0.0,1.0,12.0,10.0,2026-04
Bundesliga,2026-04-25,Mainz,Bayern Munich,3.0,4.0,4.0,4.0,1.0,2.0,0.0,0.0,21.0,11.0,2026-04
Bundesliga,2026-04-25,Heidenheim,St Pauli,2.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,12.0,11.0,2026-04
Bundesliga,2026-04-25,FC Koln,Leverkusen,1.0,2.0,2.0,5.0,1.0,2.0,0.0,0.0,25.0,8.0,2026-04
Serie B,2026-04-24,Avellino,Bari,2.0,0.0,8.0,4.0,2.0,2.0,0.0,0.0,18.0,9.0,2026-04
Bundesliga 2,2026-04-24,Kaiserslautern,Braunschweig,0.0,2.0,12.0,1.0,2.0,1.0,0.0,0.0,13.0,8.0,2026-04
Ligue 2,2026-04-24,Annecy,Pau FC,5.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,12.0,6.0,2026-04
Ligue 2,2026-04-24,Clermont,Bastia,1.0,1.0,5.0,12.0,1.0,1.0,1.0,1.0,9.0,15.0,2026-04
Premier League,2026-04-24,Sunderland,Nott'm Forest,0.0,5.0,3.0,6.0,2.0,5.0,0.0,0.0,14.0,10.0,2026-04
Championship Escocia,2026-04-24,St Johnstone,Raith Rvs,2.0,0.0,11.0,0.0,3.0,3.0,0.0,0.0,19.0,8.0,2026-04
La Liga,2026-04-24,Betis,Real Madrid,1.0,1.0,7.0,6.0,1.0,2.0,0.0,0.0,19.0,12.0,2026-04
Ligue 2,2026-04-24,Red Star,Guingamp,3.0,2.0,0.0,8.0,2.0,1.0,0.0,0.0,8.0,13.0,2026-04
Ligue 1,2026-04-24,Brest,Lens,3.0,3.0,0.0,6.0,3.0,3.0,0.0,0.0,6.0,25.0,2026-04
Ligue 2,2026-04-24,Amiens,Montpellier,0.0,2.0,8.0,7.0,3.0,1.0,0.0,0.0,22.0,15.0,2026-04
Primeira Liga,2026-04-24,Alverca,Arouca,2.0,1.0,6.0,3.0,0.0,5.0,0.0,0.0,7.0,14.0,2026-04
Serie B,2026-04-24,Monza,Modena,1.0,0.0,5.0,4.0,1.0,2.0,0.0,0.0,10.0,15.0,2026-04
Bundesliga 2,2026-04-24,Fortuna Dusseldorf,Dresden,3.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,9.0,17.0,2026-04
Bundesliga,2026-04-24,RB Leipzig,Union Berlin,3.0,1.0,10.0,4.0,1.0,1.0,0.0,0.0,20.0,5.0,2026-04
Turkey Super Lig,2026-04-24,Buyuksehyr,Kasimpasa,4.0,0.0,6.0,2.0,3.0,1.0,0.0,1.0,14.0,5.0,2026-04
La Liga 2,2026-04-24,Albacete,Eibar,0.0,3.0,10.0,3.0,2.0,1.0,0.0,0.0,25.0,11.0,2026-04
Serie A,2026-04-24,Napoli,Cremonese,4.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,25.0,7.0,2026-04
Jupiler Pro League,2026-04-24,Cercle Brugge,Dender,2.0,1.0,7.0,6.0,0.0,2.0,0.0,0.0,9.0,13.0,2026-04
Championship,2026-04-24,Leicester,Millwall,1.0,1.0,2.0,12.0,1.0,3.0,0.0,0.0,10.0,22.0,2026-04
Ligue 2,2026-04-24,Laval,Rodez,0.0,0.0,2.0,6.0,1.0,2.0,0.0,0.0,5.0,12.0,2026-04
La Liga,2026-04-23,Oviedo,Villarreal,1.0,1.0,7.0,0.0,1.0,1.0,0.0,0.0,16.0,7.0,2026-04
Eredivisie,2026-04-23,PSV Eindhoven,Zwolle,6.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,17.0,6.0,2026-04
Eredivisie,2026-04-23,Go Ahead Eagles,AZ Alkmaar,0.0,0.0,5.0,10.0,2.0,1.0,0.0,0.0,15.0,23.0,2026-04
Jupiler Pro League,2026-04-23,St Truiden,Anderlecht,2.0,0.0,4.0,7.0,0.0,2.0,0.0,0.0,16.0,19.0,2026-04
La Liga,2026-04-23,Vallecano,Espanol,1.0,0.0,6.0,5.0,2.0,4.0,0.0,0.0,17.0,15.0,2026-04
Primeira Liga,2026-04-23,Casa Pia,Sp Braga,0.0,1.0,4.0,5.0,2.0,3.0,0.0,0.0,7.0,8.0,2026-04
La Liga,2026-04-23,Levante,Sevilla,2.0,0.0,3.0,6.0,3.0,4.0,0.0,0.0,8.0,7.0,2026-04
League 2,2026-04-23,Salford,Bromley,2.0,0.0,6.0,4.0,2.0,1.0,0.0,0.0,9.0,12.0,2026-04
