League,Date,HomeTeam,AwayTeam,FTHG,FTAG,HC,AC,HY,AY,HR,AR,HS,AS,year_month
Ligue 1,2024-09-29,Nantes,St Etienne,2.0,2.0,8.0,4.0,2.0,2.0,1.0,0.0,16.0,5.0,2024-09
Ligue 1,2024-09-29,Strasbourg,Marseille,1.0,0.0,8.0,3.0,2.0,1.0,0.0,0.0,14.0,10.0,2024-09
Bundesliga 2,2024-09-29,Hannover,Nurnberg,2.0,0.0,7.0,4.0,2.0,2.0,0.0,0.0,13.0,10.0,2024-09
Ligue 1,2024-09-29,Toulouse,Lyon,1.0,2.0,3.0,4.0,2.0,2.0,0.0,0.0,10.0,4.0,2024-09
Eredivisie,2024-09-29,AZ Alkmaar,Utrecht,1.0,2.0,8.0,1.0,1.0,2.0,0.0,0.0,22.0,8.0,2024-09
Serie B,2024-09-29,Modena,Sampdoria,1.0,3.0,6.0,6.0,2.0,4.0,0.0,0.0,8.0,13.0,2024-09
Bundesliga,2024-09-29,Hoffenheim,Werder Bremen,3.0,4.0,2.0,6.0,3.0,3.0,1.0,0.0,10.0,18.0,2024-09
Serie A,2024-09-29,Torino,Lazio,2.0,3.0,3.0,1.0,2.0,3.0,0.0,0.0,12.0,13.0,2024-09
Serie A,2024-09-29,Napoli,Monza,2.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,11.0,5.0,2024-09
La Liga 2,2024-09-29,Oviedo,Eibar,1.0,0.0,7.0,4.0,1.0,2.0,0.0,1.0,19.0,8.0,2024-09
La Liga 2,2024-09-29,Cordoba,Ferrol,3.0,1.0,6.0,4.0,3.0,2.0,0.0,0.0,23.0,8.0,2024-09
La Liga 2,2024-09-29,Levante,Almeria,4.0,2.0,5.0,3.0,1.0,1.0,0.0,0.0,13.0,17.0,2024-09
Serie A,2024-09-29,Como,Verona,3.0,2.0,9.0,1.0,2.0,5.0,0.0,1.0,24.0,6.0,2024-09
Serie B,2024-09-29,Cesena,Mantova,4.0,2.0,5.0,8.0,3.0,1.0,0.0,0.0,16.0,16.0,2024-09
Premiership Escocia,2024-09-29,Rangers,Hibernian,1.0,0.0,4.0,7.0,2.0,2.0,0.0,0.0,18.0,18.0,2024-09
La Liga 2,2024-09-29,Burgos,Granada,2.0,2.0,6.0,3.0,4.0,6.0,0.0,0.0,5.0,9.0,2024-09
Serie B,2024-09-29,Salernitana,Catanzaro,0.0,0.0,5.0,0.0,3.0,2.0,0.0,0.0,9.0,3.0,2024-09
Serie B,2024-09-29,Juve Stabia,Pisa,2.0,0.0,7.0,1.0,4.0,1.0,0.0,1.0,13.0,8.0,2024-09
La Liga 2,2024-09-29,Castellon,Tenerife,2.0,1.0,9.0,4.0,1.0,2.0,0.0,0.0,19.0,16.0,2024-09
Serie A,2024-09-29,Empoli,Fiorentina,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,8.0,13.0,2024-09
Turkey Super Lig,2024-09-29,Trabzonspor,Konyaspor,3.0,2.0,4.0,2.0,4.0,1.0,0.0,0.0,11.0,9.0,2024-09
Turkey Super Lig,2024-09-29,Bodrumspor,Ad. Demirspor,3.0,1.0,7.0,6.0,3.0,5.0,0.0,0.0,14.0,8.0,2024-09
Jupiler Pro League,2024-09-29,St. Gilloise,Kortrijk,3.0,0.0,6.0,3.0,2.0,3.0,0.0,0.0,17.0,4.0,2024-09
Jupiler Pro League,2024-09-29,Antwerp,Beerschot VA,5.0,0.0,,,,,,,,,2024-09
La Liga,2024-09-29,Ath Madrid,Real Madrid,1.0,1.0,5.0,5.0,3.0,1.0,1.0,0.0,12.0,12.0,2024-09
Serie A,2024-09-29,Roma,Venezia,2.0,1.0,6.0,3.0,1.0,2.0,0.0,0.0,22.0,18.0,2024-09
La Liga,2024-09-29,Ath Bilbao,Sevilla,1.0,1.0,4.0,7.0,0.0,3.0,1.0,0.0,13.0,13.0,2024-09
La Liga,2024-09-29,Betis,Espanol,1.0,0.0,8.0,4.0,2.0,4.0,0.0,0.0,20.0,8.0,2024-09
La Liga,2024-09-29,Celta,Girona,1.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,12.0,9.0,2024-09
Bundesliga 2,2024-09-28,Regensburg,Kaiserslautern,0.0,0.0,4.0,4.0,2.0,4.0,0.0,0.0,7.0,9.0,2024-09
Championship,2024-09-28,Hull,Cardiff,4.0,1.0,7.0,5.0,3.0,4.0,0.0,0.0,18.0,16.0,2024-09
Bundesliga 2,2024-09-28,Darmstadt,Magdeburg,1.0,2.0,8.0,4.0,4.0,5.0,0.0,1.0,17.0,11.0,2024-09
Championship,2024-09-28,Sheffield Weds,West Brom,3.0,2.0,5.0,4.0,5.0,3.0,0.0,0.0,12.0,12.0,2024-09
Bundesliga 2,2024-09-28,Preußen Münster,Schalke 04,1.0,2.0,7.0,4.0,3.0,3.0,0.0,0.0,19.0,14.0,2024-09
Turkey Super Lig,2024-09-28,Galatasaray,Kasimpasa,3.0,3.0,2.0,4.0,2.0,3.0,0.0,0.0,5.0,10.0,2024-09
Championship,2024-09-28,Blackburn,QPR,2.0,0.0,8.0,2.0,3.0,2.0,0.0,1.0,19.0,6.0,2024-09
Championship,2024-09-28,Derby,Norwich,2.0,3.0,9.0,5.0,3.0,2.0,0.0,0.0,16.0,10.0,2024-09
Turkey Super Lig,2024-09-28,Samsunspor,Goztep,4.0,3.0,6.0,3.0,0.0,2.0,0.0,0.0,22.0,9.0,2024-09
Turkey Super Lig,2024-09-28,Alanyaspor,Rizespor,1.0,0.0,7.0,2.0,3.0,3.0,0.0,0.0,7.0,7.0,2024-09
Bundesliga 2,2024-09-28,Hamburg,Paderborn,2.0,2.0,7.0,3.0,3.0,3.0,0.0,0.0,17.0,12.0,2024-09
Bundesliga,2024-09-28,Wolfsburg,Stuttgart,2.0,2.0,1.0,3.0,5.0,2.0,0.0,1.0,5.0,17.0,2024-09
Premiership Escocia,2024-09-28,Dundee,Aberdeen,1.0,2.0,10.0,4.0,0.0,3.0,0.0,0.0,14.0,8.0,2024-09
Championship,2024-09-28,Millwall,Preston,3.0,1.0,3.0,8.0,2.0,2.0,1.0,0.0,14.0,11.0,2024-09
Premier League,2024-09-28,Wolves,Liverpool,1.0,2.0,2.0,10.0,2.0,3.0,0.0,0.0,8.0,10.0,2024-09
Premier League,2024-09-28,Nott'm Forest,Fulham,0.0,1.0,6.0,5.0,2.0,4.0,0.0,0.0,11.0,14.0,2024-09
Premier League,2024-09-28,Everton,Crystal Palace,2.0,1.0,5.0,8.0,2.0,1.0,0.0,0.0,8.0,17.0,2024-09
Premier League,2024-09-28,Chelsea,Brighton,4.0,2.0,8.0,2.0,3.0,2.0,0.0,0.0,15.0,15.0,2024-09
Premier League,2024-09-28,Brentford,West Ham,1.0,1.0,7.0,7.0,2.0,3.0,0.0,0.0,8.0,19.0,2024-09
Championship,2024-09-28,Leeds,Coventry,3.0,0.0,7.0,3.0,1.0,1.0,0.0,0.0,13.0,7.0,2024-09
Championship,2024-09-28,Middlesbrough,Stoke,2.0,0.0,7.0,2.0,4.0,7.0,0.0,0.0,26.0,7.0,2024-09
Ligue 2,2024-09-28,Red Star,Paris FC,1.0,3.0,6.0,7.0,3.0,2.0,0.0,0.0,12.0,11.0,2024-09
Ligue 2,2024-09-28,Troyes,Metz,2.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,6.0,12.0,2024-09
Super League Greece,2024-09-28,Volos NFC,Athens Kallithea,1.0,1.0,6.0,4.0,2.0,1.0,0.0,0.0,11.0,3.0,2024-09
Super League Greece,2024-09-28,Asteras Tripolis,Levadeiakos,1.0,1.0,4.0,3.0,2.0,3.0,0.0,0.0,8.0,13.0,2024-09
Premiership Escocia,2024-09-28,Motherwell,St Mirren,2.0,1.0,9.0,6.0,4.0,2.0,1.0,1.0,9.0,15.0,2024-09
Bundesliga,2024-09-28,Bayern Munich,Leverkusen,1.0,1.0,6.0,1.0,1.0,3.0,0.0,0.0,18.0,3.0,2024-09
Premiership Escocia,2024-09-28,Kilmarnock,Dundee United,3.0,3.0,7.0,3.0,1.0,2.0,0.0,0.0,15.0,19.0,2024-09
League 1 Escocia,2024-09-28,Inverness C,Stenhousemuir,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,8.0,6.0,2024-09
Premiership Escocia,2024-09-28,Hearts,Ross County,1.0,1.0,11.0,5.0,1.0,4.0,0.0,0.0,21.0,13.0,2024-09
Serie B,2024-09-28,Sassuolo,Spezia,0.0,0.0,4.0,3.0,2.0,2.0,0.0,0.0,12.0,13.0,2024-09
Championship Escocia,2024-09-28,Ayr,Morton,1.0,0.0,5.0,2.0,2.0,3.0,0.0,0.0,12.0,4.0,2024-09
Serie B,2024-09-28,Bari,Cosenza,1.0,1.0,7.0,4.0,2.0,1.0,1.0,0.0,12.0,11.0,2024-09
Championship,2024-09-28,Oxford,Burnley,0.0,0.0,2.0,6.0,1.0,2.0,0.0,0.0,3.0,14.0,2024-09
Ligue 1,2024-09-28,Lens,Nice,0.0,0.0,11.0,4.0,4.0,2.0,1.0,0.0,22.0,15.0,2024-09
Ligue 1,2024-09-28,Le Havre,Lille,0.0,3.0,1.0,5.0,2.0,1.0,0.0,0.0,7.0,18.0,2024-09
Ligue 1,2024-09-28,Monaco,Montpellier,2.0,1.0,6.0,2.0,4.0,3.0,0.0,1.0,21.0,9.0,2024-09
National League,2024-09-28,Ebbsfleet,Oldham,1.0,2.0,,,0.0,2.0,0.0,0.0,,,2024-09
National League,2024-09-28,York,Eastleigh,0.0,0.0,,,2.0,3.0,0.0,0.0,,,2024-09
Championship,2024-09-28,Portsmouth,Sheffield United,0.0,0.0,15.0,9.0,2.0,2.0,0.0,0.0,9.0,12.0,2024-09
Championship,2024-09-28,Watford,Sunderland,2.0,1.0,4.0,6.0,2.0,1.0,0.0,0.0,13.0,17.0,2024-09
Premier League,2024-09-28,Newcastle,Man City,1.0,1.0,5.0,6.0,4.0,4.0,0.0,0.0,11.0,16.0,2024-09
Premier League,2024-09-28,Arsenal,Leicester,4.0,2.0,17.0,0.0,2.0,4.0,0.0,0.0,36.0,5.0,2024-09
League 1 Escocia,2024-09-28,Queen of Sth,Dumbarton,2.0,0.0,5.0,3.0,1.0,3.0,0.0,1.0,12.0,16.0,2024-09
Serie B,2024-09-28,Carrarese,Reggiana,0.0,0.0,5.0,5.0,3.0,5.0,0.0,0.0,17.0,10.0,2024-09
League 1 Escocia,2024-09-28,Montrose,Alloa,2.0,2.0,6.0,11.0,2.0,2.0,0.0,0.0,7.0,11.0,2024-09
League 1 Escocia,2024-09-28,Kelty Hearts,Annan Athletic,3.0,0.0,8.0,2.0,1.0,0.0,0.0,1.0,7.0,3.0,2024-09
League 2 Escocia,2024-09-28,Bonnyrigg Rose,Forfar,0.0,1.0,3.0,4.0,2.0,1.0,0.0,0.0,3.0,6.0,2024-09
League 2 Escocia,2024-09-28,Elgin,Edinburgh City,3.0,3.0,5.0,0.0,1.0,2.0,1.0,0.0,12.0,9.0,2024-09
League 2 Escocia,2024-09-28,Peterhead,Clyde,2.0,2.0,4.0,2.0,1.0,2.0,0.0,0.0,10.0,10.0,2024-09
League 2 Escocia,2024-09-28,Spartans,East Fife,0.0,1.0,5.0,4.0,3.0,2.0,0.0,0.0,5.0,9.0,2024-09
League 2 Escocia,2024-09-28,Stranraer,Stirling,0.0,2.0,5.0,2.0,3.0,2.0,0.0,0.0,5.0,5.0,2024-09
Serie A,2024-09-28,Bologna,Atalanta,1.0,1.0,2.0,9.0,3.0,3.0,1.0,0.0,5.0,23.0,2024-09
Serie A,2024-09-28,Genoa,Juventus,0.0,3.0,5.0,3.0,2.0,1.0,0.0,0.0,7.0,12.0,2024-09
Serie A,2024-09-28,Udinese,Inter,2.0,3.0,7.0,3.0,1.0,0.0,0.0,0.0,10.0,16.0,2024-09
League 1 Escocia,2024-09-28,Cove Rangers,Arbroath,2.0,4.0,10.0,4.0,2.0,1.0,0.0,0.0,9.0,8.0,2024-09
Premiership Escocia,2024-09-28,St Johnstone,Celtic,0.0,6.0,3.0,13.0,1.0,1.0,0.0,0.0,5.0,19.0,2024-09
League 2,2024-09-28,Cheltenham,Fleetwood Town,0.0,2.0,2.0,6.0,2.0,3.0,0.0,0.0,6.0,14.0,2024-09
League 2,2024-09-28,Doncaster,Chesterfield,0.0,3.0,4.0,10.0,3.0,2.0,2.0,0.0,7.0,6.0,2024-09
Championship Escocia,2024-09-28,Hamilton,Partick,1.0,0.0,1.0,12.0,1.0,4.0,0.0,0.0,8.0,9.0,2024-09
La Liga,2024-09-28,Getafe,Alaves,2.0,0.0,2.0,2.0,3.0,6.0,0.0,0.0,14.0,9.0,2024-09
La Liga,2024-09-28,Vallecano,Leganes,1.0,1.0,5.0,5.0,2.0,1.0,0.0,0.0,15.0,13.0,2024-09
La Liga 2,2024-09-28,Malaga,Elche,0.0,3.0,4.0,5.0,5.0,4.0,0.0,0.0,5.0,14.0,2024-09
La Liga 2,2024-09-28,Sp Gijon,Zaragoza,1.0,0.0,5.0,5.0,0.0,5.0,0.0,2.0,22.0,7.0,2024-09
La Liga 2,2024-09-28,Mirandes,Huesca,1.0,0.0,6.0,2.0,2.0,6.0,0.0,0.0,16.0,6.0,2024-09
La Liga 2,2024-09-28,Cadiz,Eldense,1.0,2.0,2.0,4.0,1.0,5.0,0.0,0.0,23.0,15.0,2024-09
League 2,2024-09-28,Port Vale,Swindon,2.0,1.0,12.0,3.0,3.0,1.0,0.0,0.0,20.0,4.0,2024-09
Bundesliga,2024-09-28,RB Leipzig,Augsburg,4.0,0.0,8.0,5.0,1.0,2.0,0.0,0.0,14.0,7.0,2024-09
League 1,2024-09-28,Barnsley,Stockport,1.0,1.0,3.0,5.0,3.0,1.0,0.0,0.0,11.0,15.0,2024-09
Jupiler Pro League,2024-09-28,Dender,Anderlecht,1.0,1.0,5.0,6.0,3.0,2.0,0.0,0.0,6.0,12.0,2024-09
Championship Escocia,2024-09-28,Raith Rvs,Falkirk,1.0,0.0,2.0,4.0,2.0,4.0,0.0,0.0,4.0,4.0,2024-09
Bundesliga,2024-09-28,M'gladbach,Union Berlin,1.0,0.0,2.0,4.0,3.0,1.0,0.0,0.0,8.0,9.0,2024-09
Championship Escocia,2024-09-28,Dunfermline,Queens Park,1.0,2.0,12.0,3.0,2.0,2.0,0.0,0.0,14.0,6.0,2024-09
League 1,2024-09-28,Reading,Huddersfield,2.0,1.0,2.0,11.0,1.0,3.0,0.0,0.0,6.0,19.0,2024-09
Jupiler Pro League,2024-09-28,Genk,Mechelen,2.0,1.0,6.0,6.0,2.0,3.0,0.0,0.0,10.0,14.0,2024-09
Primeira Liga,2024-09-28,Benfica,Gil Vicente,5.0,1.0,11.0,2.0,1.0,2.0,0.0,0.0,18.0,10.0,2024-09
Championship Escocia,2024-09-28,Livingston,Airdrie Utd,2.0,1.0,7.0,8.0,2.0,4.0,0.0,0.0,9.0,3.0,2024-09
Primeira Liga,2024-09-28,Estrela,Moreirense,2.0,1.0,2.0,7.0,3.0,3.0,0.0,1.0,4.0,13.0,2024-09
Eredivisie,2024-09-28,Sparta Rotterdam,For Sittard,1.0,1.0,9.0,5.0,1.0,2.0,0.0,0.0,19.0,13.0,2024-09
Eredivisie,2024-09-28,Nijmegen,Feyenoord,1.0,1.0,3.0,9.0,1.0,1.0,0.0,0.0,10.0,17.0,2024-09
Eredivisie,2024-09-28,Willem II,PSV Eindhoven,0.0,2.0,3.0,6.0,1.0,2.0,0.0,0.0,8.0,12.0,2024-09
Bundesliga,2024-09-28,Freiburg,St Pauli,0.0,3.0,4.0,2.0,3.0,3.0,0.0,0.0,6.0,10.0,2024-09
Bundesliga,2024-09-28,Mainz,Heidenheim,0.0,2.0,7.0,6.0,4.0,4.0,1.0,1.0,7.0,14.0,2024-09
Primeira Liga,2024-09-28,Casa Pia,Guimaraes,1.0,1.0,7.0,9.0,2.0,0.0,0.0,0.0,9.0,19.0,2024-09
Jupiler Pro League,2024-09-28,Standard,Westerlo,1.0,2.0,11.0,2.0,1.0,6.0,0.0,0.0,16.0,9.0,2024-09
League 2,2024-09-28,Carlisle,Grimsby,2.0,3.0,5.0,4.0,3.0,0.0,0.0,0.0,11.0,12.0,2024-09
League 1,2024-09-28,Crawley Town,Bolton,0.0,2.0,6.0,4.0,2.0,3.0,0.0,0.0,8.0,11.0,2024-09
La Liga,2024-09-28,Sociedad,Valencia,3.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,11.0,9.0,2024-09
League 1,2024-09-28,Birmingham,Peterboro,3.0,2.0,7.0,6.0,3.0,3.0,0.0,0.0,12.0,5.0,2024-09
League 2,2024-09-28,Morecambe,Notts County,1.0,1.0,7.0,4.0,2.0,1.0,1.0,0.0,10.0,18.0,2024-09
National League,2024-09-28,Barnet,Fylde,2.0,0.0,,,3.0,2.0,0.0,0.0,,,2024-09
National League,2024-09-28,Boston Utd,Maidenhead,1.0,2.0,,,3.0,3.0,0.0,0.0,,,2024-09
National League,2024-09-28,Dag and Red,Solihull,1.0,1.0,,,5.0,1.0,0.0,0.0,,,2024-09
National League,2024-09-28,Forest Green,Hartlepool,1.0,0.0,,,0.0,2.0,0.0,0.0,,,2024-09
National League,2024-09-28,Halifax,Wealdstone,2.0,2.0,,,1.0,3.0,0.0,2.0,,,2024-09
League 2,2024-09-28,Bromley,Milton Keynes Dons,1.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,12.0,13.0,2024-09
National League,2024-09-28,Rochdale,Braintree Town,1.0,0.0,,,1.0,2.0,0.0,0.0,,,2024-09
National League,2024-09-28,Tamworth,Altrincham,1.0,2.0,,,2.0,2.0,0.0,1.0,,,2024-09
League 1,2024-09-28,Blackpool,Burton,3.0,0.0,7.0,11.0,0.0,1.0,0.0,0.0,16.0,11.0,2024-09
League 1,2024-09-28,Wigan,Exeter,0.0,0.0,6.0,6.0,0.0,2.0,0.0,0.0,16.0,5.0,2024-09
League 2,2024-09-28,Gillingham,Barrow,2.0,0.0,7.0,3.0,5.0,2.0,0.0,0.0,7.0,9.0,2024-09
National League,2024-09-28,Yeovil,Aldershot,1.0,1.0,,,2.0,2.0,0.0,0.0,,,2024-09
National League,2024-09-28,Woking,Sutton,1.0,2.0,,,4.0,4.0,0.0,0.0,,,2024-09
League 2,2024-09-28,Newport County,Crewe,2.0,1.0,3.0,4.0,3.0,3.0,0.0,0.0,10.0,10.0,2024-09
League 1,2024-09-28,Shrewsbury,Rotherham,1.0,1.0,3.0,5.0,2.0,2.0,0.0,0.0,4.0,12.0,2024-09
National League,2024-09-28,Southend,Gateshead,1.0,3.0,,,1.0,3.0,0.0,0.0,,,2024-09
League 1,2024-09-28,Cambridge,Lincoln,0.0,2.0,6.0,2.0,1.0,3.0,0.0,0.0,11.0,10.0,2024-09
League 1,2024-09-28,Leyton Orient,Wrexham,0.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,9.0,6.0,2024-09
League 1,2024-09-28,Northampton,Mansfield,0.0,2.0,6.0,4.0,0.0,3.0,0.0,0.0,16.0,10.0,2024-09
League 1,2024-09-28,Bristol Rvs,Wycombe,1.0,2.0,2.0,4.0,2.0,2.0,0.0,0.0,6.0,13.0,2024-09
League 1,2024-09-28,Stevenage,Charlton,1.0,0.0,12.0,6.0,4.0,4.0,0.0,0.0,11.0,7.0,2024-09
La Liga,2024-09-28,Osasuna,Barcelona,4.0,2.0,5.0,8.0,2.0,2.0,0.0,0.0,11.0,12.0,2024-09
League 2,2024-09-28,Harrogate,Bradford,2.0,1.0,4.0,2.0,2.0,1.0,0.0,0.0,11.0,11.0,2024-09
League 2,2024-09-28,Walsall,Colchester,4.0,0.0,5.0,5.0,1.0,3.0,0.0,0.0,15.0,9.0,2024-09
League 2,2024-09-27,Tranmere,Salford,0.0,0.0,11.0,4.0,3.0,7.0,0.0,0.0,16.0,8.0,2024-09
Bundesliga 2,2024-09-27,Greuther Furth,Fortuna Dusseldorf,1.0,2.0,6.0,0.0,1.0,1.0,0.0,0.0,15.0,12.0,2024-09
Ligue 2,2024-09-27,Amiens,Rodez,2.0,1.0,5.0,4.0,2.0,4.0,0.0,1.0,20.0,12.0,2024-09
Ligue 2,2024-09-27,Bastia,Annecy,2.0,2.0,3.0,3.0,1.0,4.0,0.0,0.0,20.0,9.0,2024-09
Serie A,2024-09-27,Milan,Lecce,3.0,0.0,4.0,7.0,1.0,1.0,1.0,0.0,15.0,16.0,2024-09
Ligue 2,2024-09-27,Laval,Pau FC,3.0,1.0,3.0,4.0,2.0,6.0,0.0,0.0,7.0,7.0,2024-09
Ligue 2,2024-09-27,Lorient,Ajaccio,3.0,0.0,8.0,3.0,2.0,2.0,0.0,1.0,27.0,7.0,2024-09
Ligue 2,2024-09-27,Martigues,Dunkerque,1.0,1.0,7.0,10.0,1.0,3.0,1.0,0.0,5.0,18.0,2024-09
Ligue 1,2024-09-27,Paris SG,Rennes,3.0,1.0,6.0,4.0,1.0,3.0,0.0,0.0,22.0,13.0,2024-09
Serie B,2024-09-27,Cittadella,Frosinone,1.0,2.0,8.0,4.0,4.0,3.0,0.0,0.0,12.0,17.0,2024-09
Championship,2024-09-27,Plymouth,Luton,3.0,1.0,3.0,15.0,1.0,4.0,0.0,0.0,19.0,16.0,2024-09
Bundesliga,2024-09-27,Dortmund,Bochum,4.0,2.0,11.0,0.0,2.0,0.0,0.0,0.0,23.0,10.0,2024-09
Ligue 1,2024-09-27,Auxerre,Brest,3.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,15.0,8.0,2024-09
Ligue 2,2024-09-27,Grenoble,Clermont,3.0,0.0,5.0,8.0,1.0,1.0,0.0,1.0,10.0,7.0,2024-09
Primeira Liga,2024-09-27,Estoril,Sp Lisbon,0.0,3.0,1.0,14.0,2.0,0.0,0.0,0.0,5.0,22.0,2024-09
Bundesliga 2,2024-09-27,Ulm,Braunschweig,3.0,1.0,3.0,5.0,2.0,5.0,0.0,1.0,18.0,9.0,2024-09
Turkey Super Lig,2024-09-27,Sivasspor,Buyuksehyr,1.0,2.0,2.0,3.0,1.0,4.0,0.0,0.0,10.0,13.0,2024-09
La Liga 2,2024-09-27,Albacete,La Coruna,2.0,5.0,10.0,3.0,3.0,2.0,0.0,0.0,20.0,14.0,2024-09
Jupiler Pro League,2024-09-27,Charleroi,Club Brugge,1.0,1.0,4.0,6.0,3.0,1.0,0.0,1.0,14.0,18.0,2024-09
Eredivisie,2024-09-27,Heracles,Heerenveen,2.0,1.0,9.0,4.0,2.0,2.0,0.0,0.0,15.0,13.0,2024-09
La Liga,2024-09-27,Valladolid,Mallorca,1.0,2.0,7.0,4.0,3.0,2.0,0.0,0.0,11.0,14.0,2024-09
Jupiler Pro League,2024-09-26,Cercle Brugge,Gent,2.0,1.0,6.0,5.0,2.0,3.0,0.0,0.0,14.0,6.0,2024-09
La Liga,2024-09-26,Espanol,Villarreal,1.0,2.0,4.0,1.0,5.0,3.0,0.0,0.0,11.0,15.0,2024-09
